Time,Country,NB of detections,NB of violations
1/29/2009 1:01,Switzerland,11,88
1/25/2009 12:55,United States,97,61
1/24/2009 13:35,United States,32,48
1/28/2009 13:30,United States,35,48
1/20/2009 19:08,United States,47,60
1/29/2009 17:13,United States,22,38
1/2/2009 5:33,United Kingdom,37,72
1/31/2009 11:03,Sweden,91,76
1/13/2009 9:16,United States,74,91
1/19/2009 12:38,Germany,55,18
1/18/2009 12:14,Netherlands,37,44
1/22/2009 10:59,United States,51,13
1/14/2009 7:30,Spain,70,76
1/19/2009 1:52,Australia,26,34
1/8/2009 23:00,Turkey,67,66
1/25/2009 7:29,United Kingdom,66,19
1/17/2009 15:19,Ireland,79,41
1/23/2009 12:23,Netherlands,64,97
1/24/2009 8:45,United States,22,49
1/27/2009 3:45,Switzerland,90,98
1/29/2009 23:48,United Kingdom,44,94
1/3/2009 18:43,Canada,94,52
1/24/2009 17:18,United States,33,27
1/2/2009 15:13,Ireland,64,94
1/8/2009 10:44,Canada,80,14
1/29/2009 8:13,United States,33,93
1/24/2009 10:26,Brazil,58,14
1/24/2009 12:56,Canada,22,77
1/7/2009 13:38,Germany,49,97
1/23/2009 15:38,United States,88,57
1/26/2009 14:43,Ireland,95,27
1/17/2009 20:33,United States,76,78
1/5/2009 9:15,Canada,41,83
1/20/2009 8:16,United States,38,99
1/29/2009 12:46,Ireland,80,98
1/15/2009 18:12,United States,79,60
1/23/2009 13:55,United States,99,93
1/26/2009 10:26,Canada,33,88
1/12/2009 11:48,United States,21,63
1/29/2009 15:20,United States,73,19
1/28/2009 7:26,Canada,43,87
1/14/2009 0:03,Australia,33,15
1/13/2009 1:55,Germany,30,68
1/12/2009 23:21,Switzerland,84,76
1/22/2009 2:16,Turkey,37,86
1/29/2009 12:53,France,92,88
1/28/2009 11:36,Germany,19,76
1/19/2009 6:50,Belgium,51,28
1/30/2009 5:20,Ireland,68,82
1/19/2009 14:06,United States,14,89
1/8/2009 9:43,France,43,29
1/23/2009 9:09,Sweden,49,89
1/20/2009 8:58,Canada,38,18
1/2/2009 13:35,France,14,94
1/9/2009 15:03,United States,11,43
1/23/2009 7:04,United States,94,68
1/17/2009 10:14,Canada,38,67
1/19/2009 16:16,United States,29,17
1/20/2009 13:54,Australia,78,83
1/23/2009 21:35,Australia,90,23
1/21/2009 23:41,France,17,17
1/21/2009 4:11,Czech Republic,91,77
1/10/2009 3:43,Germany,99,15
1/15/2009 18:08,United States,69,53
1/20/2009 14:48,Sweden,74,27
1/21/2009 11:56,Switzerland,94,100
1/30/2009 6:18,Switzerland,58,32
1/12/2009 17:28,United States,77,38
1/29/2009 8:27,Czech Republic,17,66
1/24/2009 12:43,United States,40,52
1/7/2009 10:49,United States,10,60
1/11/2009 17:06,United States,59,36
1/30/2009 6:17,Ireland,96,67
1/7/2009 10:52,Ireland,58,35
1/27/2009 6:20,United States,88,10
1/21/2009 20:02,Cayman Isls,59,96
1/4/2009 16:23,United States,41,67
1/6/2009 12:26,United States,43,21
1/11/2009 4:34,United Kingdom,18,47
1/17/2009 6:39,United Kingdom,56,70
1/4/2009 3:41,Netherlands,99,48
1/12/2009 5:50,Netherlands,91,32
1/3/2009 13:43,Ireland,85,82
1/11/2009 6:51,Ukraine,50,37
1/17/2009 6:23,Italy,50,61
1/26/2009 18:38,United States,62,99
1/31/2009 13:26,Canada,22,63
1/21/2009 2:20,Switzerland,47,64
1/18/2009 13:25,United States,49,40
1/18/2009 18:57,United States,32,33
1/31/2009 1:59,Italy,39,34
1/25/2009 16:08,Canada,56,48
1/16/2009 19:13,United States,40,16
1/31/2009 15:25,United States,40,13
1/9/2009 8:57,United States,92,47
1/4/2009 22:18,Canada,72,49
1/10/2009 15:18,United States,80,95
1/16/2009 19:47,United States,87,67
1/25/2009 8:16,Norway,50,35
1/25/2009 8:48,United Kingdom,96,92
1/17/2009 9:12,United States,11,48
1/24/2009 1:22,Italy,28,52
1/27/2009 15:09,United States,90,41
1/25/2009 21:49,United States,43,64
1/24/2009 8:51,Philippines,46,16
1/6/2009 14:08,Belgium,22,67
1/17/2009 14:06,United States,84,46
1/21/2009 12:38,Turkey,93,93
1/30/2009 23:49,Netherlands,20,31
1/12/2009 12:00,United States,91,41
1/29/2009 21:40,Canada,31,32
1/24/2009 13:38,United Kingdom,86,92
1/25/2009 13:50,Switzerland,100,91
1/12/2009 13:41,United Kingdom,79,18
1/5/2009 11:44,Denmark,41,99
1/2/2009 8:31,Hungary,43,80
1/31/2009 7:13,United Kingdom,26,89
1/20/2009 2:17,Dominican Republic,53,28
1/25/2009 20:15,United States,63,49
1/25/2009 19:44,Brazil,86,78
1/30/2009 9:00,United States,83,87
1/7/2009 19:18,Canada,14,99
1/4/2009 10:18,United States,16,39
1/23/2009 14:57,United States,49,89
1/12/2009 10:08,United States,12,24
1/19/2009 4:22,France,28,84
1/21/2009 21:37,China,96,19
1/25/2009 4:34,Netherlands,40,75
1/30/2009 1:09,Switzerland,25,25
1/26/2009 15:16,United States,37,69
1/15/2009 15:56,United States,46,62
1/2/2009 20:47,United States,83,28
1/25/2009 9:36,United States,70,83
1/20/2009 20:09,United Arab Emirates,55,98
1/8/2009 11:14,Switzerland,45,79
1/6/2009 20:39,Canada,65,25
1/6/2009 18:10,United States,13,49
1/11/2009 6:46,Ireland,64,18
1/19/2009 14:26,Ireland,36,70
1/31/2009 6:14,United States,75,17
1/6/2009 9:31,United States,42,25
1/21/2009 7:31,United States,69,44
1/20/2009 17:23,Canada,97,86
1/29/2009 12:10,United States,27,36
1/24/2009 23:21,Thailand,69,57
1/28/2009 10:37,Greece,52,78
1/30/2009 14:36,Switzerland,10,90
1/21/2009 2:07,United Kingdom,90,64
1/26/2009 6:37,Switzerland,34,67
1/4/2009 14:27,United Kingdom,61,55
1/9/2009 3:03,France,34,42
1/8/2009 19:26,United States,10,12
1/10/2009 16:02,United States,34,73
1/6/2009 6:31,Belgium,98,49
1/23/2009 13:13,United States,77,70
1/18/2009 17:55,Brazil,13,27
1/5/2009 15:15,United Kingdom,29,42
1/2/2009 10:32,Canada,37,72
1/25/2009 9:27,United Kingdom,45,91
1/5/2009 6:12,Italy,42,54
1/6/2009 2:41,Australia,17,17
1/27/2009 14:42,United States,73,83
1/8/2009 12:03,Canada,82,87
1/29/2009 12:16,United States,55,13
1/19/2009 10:47,Norway,99,78
1/8/2009 2:49,Switzerland,72,17
1/19/2009 17:40,United States,44,47
1/11/2009 0:15,Netherlands,25,36
1/16/2009 5:12,Switzerland,16,27
1/19/2009 6:52,Costa Rica,22,91
1/26/2009 1:14,Spain,71,33
1/30/2009 10:31,United States,28,52
1/23/2009 5:52,Switzerland,81,24
1/7/2009 9:54,United Kingdom,65,91
1/1/2009 16:44,United States,16,57
1/23/2009 9:27,Spain,17,42
1/22/2009 12:56,Norway,26,11
1/16/2009 13:35,Italy,13,25
1/13/2009 9:26,Switzerland,72,79
1/25/2009 11:35,United States,91,29
1/26/2009 14:02,United States,34,42
1/7/2009 13:26,Canada,52,54
1/15/2009 11:45,United Kingdom,64,62
1/27/2009 12:02,Ireland,74,67
1/28/2009 14:09,Poland,37,10
1/23/2009 7:13,Bermuda,20,77
1/22/2009 15:59,Canada,53,56
1/16/2009 10:27,United States,75,81
1/26/2009 22:45,Japan,71,35
1/25/2009 18:33,United States,37,76
1/16/2009 6:13,South Africa,25,26
1/12/2009 17:19,United States,79,33
1/2/2009 4:21,Norway,73,64
1/5/2009 3:03,Ireland,73,19
1/15/2009 15:22,United States,20,83
1/26/2009 5:38,United States,95,57
1/24/2009 10:38,United States,61,53
1/2/2009 7:30,United States,17,27
1/26/2009 6:38,United States,48,58
1/17/2009 7:56,Italy,53,70
1/17/2009 7:58,Italy,26,84
1/18/2009 4:32,Italy,75,89
1/26/2009 8:00,United States,12,22
1/11/2009 8:41,United States,24,91
1/21/2009 10:32,United States,67,89
1/29/2009 12:27,Ireland,67,75
1/13/2009 13:19,Canada,30,28
1/31/2009 18:12,United States,81,22
1/22/2009 15:35,United States,70,35
1/5/2009 11:24,United States,78,30
1/23/2009 11:23,United States,62,77
1/7/2009 20:55,United States,65,51
1/13/2009 9:40,United States,22,29
1/25/2009 15:18,United States,73,75
1/30/2009 20:58,Canada,99,79
1/31/2009 4:50,Sweden,78,40
1/20/2009 10:05,Canada,67,34
1/9/2009 5:15,Spain,39,34
1/13/2009 7:09,United States,45,50
1/3/2009 11:03,United States,91,98
1/17/2009 20:51,New Zealand,50,89
1/5/2009 7:55,United States,78,83
1/25/2009 14:40,United States,39,80
1/25/2009 17:55,United States,88,23
1/3/2009 12:54,United States,86,34
1/22/2009 3:57,Netherlands,28,16
1/23/2009 5:11,Ireland,45,96
1/25/2009 11:52,Austria,87,34
1/10/2009 4:12,Ireland,20,35
1/10/2009 9:32,United States,93,38
1/22/2009 12:45,United States,46,72
1/6/2009 18:11,United States,56,70
1/19/2009 5:56,United Kingdom,96,58
1/25/2009 10:50,United States,17,76
1/14/2009 8:38,United States,67,49
1/2/2009 17:24,Australia,94,37
1/7/2009 18:15,United States,23,75
1/3/2009 21:19,United States,52,15
1/4/2009 5:13,Czech Republic,57,18
1/4/2009 9:28,United Kingdom,45,48
1/2/2009 4:34,United Kingdom,55,25
1/22/2009 11:10,Romania,26,98
1/7/2009 12:06,Malta,74,67
1/29/2009 13:25,United States,59,85
1/27/2009 2:57,United Kingdom,79,82
1/7/2009 13:19,Turkey,71,94
1/23/2009 10:04,United States,43,89
1/19/2009 4:55,United Kingdom,14,73
1/28/2009 22:02,New Zealand,69,24
1/4/2009 18:57,Australia,31,89
1/12/2009 20:31,Guatemala,15,23
1/24/2009 12:00,Spain,17,42
1/28/2009 11:19,United States,44,29
1/7/2009 17:48,United States,21,83
1/23/2009 12:42,Australia,63,78
1/7/2009 19:48,Australia,35,27
1/26/2009 11:19,Finland,46,99
1/5/2009 13:23,Austria,50,20
1/26/2009 13:41,Switzerland,82,40
1/20/2009 10:42,United Kingdom,83,77
1/22/2009 14:25,United Kingdom,15,35
1/28/2009 5:36,Mauritius,37,37
1/1/2009 4:24,United States,99,69
1/8/2009 11:55,United Kingdom,85,70
1/12/2009 21:30,United States,58,23
